Restaurant_ID MuIXnv7Oq7X3-4aEsp9dDA
options 5.572508444116747 65
everything 6.964410017378823 80
turkey 7.483223492498803 61
dish 3.493503549606917 66
people 5.3636996955449545 58
menu 4.69233043565405 183
dinner 4.353718875124124 53
drinks 6.33998949027851 77
something 4.637925896949519 52
flavor 5.500932288920923 59
table 4.604687803901978 54
time 3.447617223128197 132
night 3.536956661844155 51
server 5.296800030224038 75
kale 6.203743611195996 126
salad 4.442056711458958 172
phoenix 6.47284813463854 43
dessert 5.912690316974572 50
chicken 3.7937645621297107 63
restaurant 6.032833361329163 179
shrimp 4.2966824225769535 43
hash 5.5413110794878175 54
times 3.658259095545737 50
place 6.665648716396193 249
staff 4.842839156543565 86
way 5.0312008232965635 56
atmosphere 6.57553476407608 52
kitchen 6.405238106803415 112
pizza 6.309757404888736 64
restaurants 4.134786121355315 52
foods 4.579904700486937 68
fish 2.6392438552418174 52
friend 6.140359162290477 48
side 2.856632480569915 65
End -----------------------------------------------------------------------------
Restaurant_ID 53YGfwmbW73JhFiemNeyzQ
olive 6.638725686140888 139
server 6.406753522020435 78
dinner 4.612703470027132 108
lunch 6.069843619188584 85
cheese 4.2424640976767245 61
service 6.106634550428309 212
hour 6.640170455811393 65
waiter 5.865177413290301 45
atmosphere 7.480096977933053 82
ivy 4.407593576929811 152
dining 4.079701415997782 63
side 4.144326633338941 54
pesto 5.540801741377351 84
area 3.4897978396007936 61
decor 5.728143894394982 54
order 3.886000666047342 67
drinks 7.065488258033823 62
day 4.482022964961434 59
wine 4.817080752561884 104
place 7.025291367885201 240
friends 5.892112786026422 46
sangria 5.6483695863569015 58
bread 4.95669854816274 131
salad 5.0680923080230675 121
ambiance 8.795267273515972 51
breakfast 6.75896542750467 46
experience 6.14027730552722 57
time 3.6092571503731734 135
people 4.8164532542951335 67
scottsdale 4.357084645033354 84
patio 6.293718202943168 140
menu 5.043692739676722 108
flatbread 5.402933170699239 57
restaurant 5.679206485432491 151
night 4.289384201318918 74
times 3.9783107001905993 41
chicken 4.270046561406266 54
fox 3.9094933822188893 63
bar 5.22812288118364 89
food 5.907957848010037 309
brunch 7.022345311492185 63
table 4.792850971672319 81
bit 2.5156962092622672 54
everything 7.393273837976174 46
meal 6.474237525920622 84
End -----------------------------------------------------------------------------
Restaurant_ID JokKtdXU7zXHcr20Lrk29A
patio 4.9313510061612575 118
ipa 5.589353554131444 85
stout 5.672644870391821 61
fries 6.356925335030162 127
food 6.565990615430747 699
atmosphere 6.827173198493799 167
menu 5.632729630444492 136
lot 4.386966263878877 74
brewery 4.55297457845499 161
table 4.658004732809221 88
hour 7.52894499834865 93
peaks 6.430452499050294 386
arizona 6.301752323513631 66
place 6.993430314180267 559
service 5.626003275838936 234
day 4.273415272437716 104
parking 1.3813422093307466 175
fun 6.060606275265407 64
friends 4.412315409595245 111
bit 1.7195637664185761 75
peach 7.340411294754112 108
street 4.559837712251855 88
beers 6.874303205546833 240
tempe 5.612872758028564 124
night 3.160606848712508 128
beer 6.087718797311815 932
ale 5.034067891730122 130
times 3.6498348439823958 83
burger 5.237243228449313 124
chicken 6.077079112236648 118
bar 5.716618018726144 220
people 5.21496314956785 116
time 4.111660063462174 260
beer bread 6.14926236659471 86
End -----------------------------------------------------------------------------
Restaurant_ID FURgKkRFtMK5yKbjYZVVwA
sauce 6.72472030003482 37
salad 4.438496452840276 135
door 3.3171469829636013 54
table 3.4624954891929534 58
dinner 4.374505016884863 46
drink 5.966800957552406 55
restaurant 5.621151157958369 76
phoenix 5.404983704628492 47
atmosphere 6.665182450629575 95
place 7.35504104961848 226
food 6.040193386827247 271
cheese 4.518602766326524 117
side 4.193441024450885 92
lunch 7.075294807543527 46
cocktails 10.0 57
people 4.77194815263795 46
windsor 5.597953418855402 242
lot 4.516289495888273 42
porkwich 5.776685240570217 35
bacon 4.513015225357966 38
hour 7.342568136030031 77
crab 4.9606622130017035 46
postino 3.6707041995590344 58
meal 6.760909448604858 41
fondue 3.902873981962729 35
menu 4.430614146554354 131
parking 2.5811967573273256 66
potatoes 5.994130354892 33
mac 6.358624511242023 79
day 5.651153851839807 46
beer 5.680754425512444 45
wall 6.290713706558661 39
wine 5.611642495651189 46
friend 8.30121008461709 37
pork 5.66665383570813 53
friends 4.759903423662783 43
brunch 7.719764420433127 36
staff 5.763706541239398 87
burger 5.683000667618793 63
something 5.529504497542578 44
time 3.7108073656339817 142
spot 7.638218832812508 50
times 3.8387378892851753 47
way 4.079588561321911 54
service 6.7952274075898975 167
bit 1.5094014484406477 49
everything 7.37515101969948 47
chips 3.410356236043021 58
sandwich 4.746168811888593 149
night 4.773232547799022 65
fun 6.047640636215952 40
bar 5.026211517908101 113
drinks 6.533806734848916 83
server 5.227367177384179 44
patio 5.626697993744703 128
End -----------------------------------------------------------------------------
Restaurant_ID 2ceeU8e3nZjaPfGmLwh4kg
spot 6.048153365392403 35
friends 4.043041467769452 76
tempe 3.700251253170432 85
place 6.048120028937109 283
crowd 4.63578624653575 70
table 0.5735388567758501 30
bar 4.792449397870897 224
anything 3.7282179152971406 25
bit 1.238726704554654 38
food 4.918162772902226 213
stars 3.7843002326171304 28
years 3.2418312102093134 33
college 2.931849522082435 32
staff 4.688916522292926 50
selection 6.232033054774616 41
patio 4.698425992689366 147
night 2.884695964815873 98
house 3.05168310098606 38
day 5.472052999105874 48
service 2.736369985373728 100
beer 3.724022508810845 112
fish 6.023354364224815 30
parking 0.7132118274586823 37
lot 2.545573399558924 42
time 4.047439709274697 127
times 2.0576490628085025 46
atmosphere 6.327651598832275 59
drink 4.015120938120489 72
oyster 4.343345393350329 31
oysters 5.29372842473908 86
area 4.0373662631398135 48
way 3.114212087129066 43
drinks 5.305653565834718 83
people 5.030034482560504 124
mill 2.6803052627602093 38
asu 2.8708712421735227 38
casey 6.261046658012384 189
lunch 4.50320422003098 32
hour 7.5492607570638635 47
End -----------------------------------------------------------------------------
Restaurant_ID VVeogjZya58oiTxK7qUjAQ
years 3.151725104160805 97
cheese 4.617625387664981 206
friends 2.971993039430421 78
oven 3.905584441177293 156
wine 2.4420865206690108 228
wiseguy 5.939674677571571 96
bar 3.7354344310409884 398
wait 3.912157887496965 991
bianco 6.024049044863897 619
hours 2.6030947241545803 297
order 3.181530950696669 116
staff 4.776180261914259 103
food 5.2002367560297955 332
time 2.4134700350007634 448
margherita 6.145708142586347 149
phoenix 6.1274942175542915 225
places 4.621775113296403 117
hour 2.0512973491846065 216
bit 1.9941688869868999 117
dinner 1.815114086008063 82
something 3.632075697410444 97
pie 5.200829558191002 105
biancoverde 6.019189766529417 81
ingredients 5.151131861562488 170
night 4.222673423897501 125
pizzas 5.177889621713393 259
table 3.228742746852639 201
sausage 3.225463793744423 150
experience 4.033182843944823 187
wood 2.9304532565457997 131
list 3.164107479299001 92
line 2.9333732294155213 159
day 3.453100786450312 84
way 3.4079403502246306 155
mozzarella 5.221177506545666 167
door 1.7731723384359457 293
hype 5.167741435337492 110
crust 4.6284515031058335 293
chris 5.2299179067592405 83
service 5.788902552260684 193
times 2.4123341732634915 131
salad 4.160709818303256 113
quality 4.946800300081501 95
menu 3.3653950930758953 119
pizza 5.514940060255105 1885
rosa 4.62129101310786 129
sauce 5.526059978425577 194
wait hour 2.9610109939929723 1
people 4.551126715560342 246
lunch 3.8330351408386094 84
fennel 3.9028810145249544 87
minutes 2.2292588291228177 110
place 5.705742167986868 600
everyone 4.898902421427749 83
restaurant 4.381082596821782 226
tomato 3.160019663520128 117
End -----------------------------------------------------------------------------
Restaurant_ID 3oZcTGb_oDHGwZFiP-7kxQ
food 5.252056079457486 409
meal 6.166862169784899 94
wine 4.55914762293145 51
plate 4.091159322373194 55
minutes 1.5159588437094864 41
tacos 4.2203219396160945 230
kale 4.673289448513293 45
wait 4.576842482954348 104
place 6.740563647424292 300
fries 4.896836022462937 64
friend 6.1917431712569435 60
times 3.136986371667339 61
drinks 5.551267391992124 57
dessert 6.123268189742181 44
parking 2.7468041380542796 54
phoenix 7.262659674384483 56
order 3.475492771990563 77
people 4.770446500158617 72
night 4.614342846965376 98
side 3.167034366733205 70
fish 5.794510406830008 51
something 3.456204832607418 57
lunch 5.202284998777934 100
restaurant 6.1721825531754115 145
day 4.189841866702476 51
server 4.816871930655867 83
tuna 4.813174576658994 82
atmosphere 8.382698652631086 101
chelsea 6.459785616123179 281
staff 5.194597862057911 74
ribs 2.7951508740356044 66
thing 3.003639477627921 57
stars 3.3127432090369853 36
way 5.162649876906452 95
sangria 5.411083537317384 67
kitchen 4.378089768132404 169
burger 4.449241292115961 138
time 3.5057395142901915 183
tortillas 5.885794467112469 64
service 5.989178863265403 305
experience 5.395989947698668 73
cake 2.4572376567967287 62
patio 5.972932722467909 235
cheese 3.9426070749430138 75
table 3.8829209429436506 112
salad 3.9190895403796757 148
brunch 5.348335434596577 67
guacamole 6.1241858703294145 49
everything 7.719574832049124 61
bit 1.2651720611173185 80
chocolate 5.167326865008727 51
rib 2.4622703219457214 131
rib tacos 3.303380328423569 69
chicken 1.5966050034697208 129
menu 4.907122482904536 152
bar 4.85839094790132 84
dinner 4.060570545099621 117
End -----------------------------------------------------------------------------
Restaurant_ID AkOruz5CrCxUmXe1p_WoRg
food 4.541584239738452 302
menu 3.130381367419179 117
dish 1.9732094318969537 78
minutes 1.2320882110069449 25
places 4.016883509403058 44
people 4.25180012225235 39
way 3.595778709685546 38
cafe 2.3392983825943157 60
times 2.465144910458297 63
rice 2.0504987831465176 53
stars 3.25711209339227 24
flavor 4.2334859173983155 44
meal 4.8890927048696495 55
shrimp 4.204826113285988 41
something 4.425847545292679 59
tofu 3.645023886618382 34
night 2.0633782540409964 46
spicy 6.229572970806821 64
broth 4.6855364725165725 59
ramen 4.505759126211354 176
pasta 3.4933870202486332 40
thing 3.150172288299647 43
cherryblossom 3.462733032799173 62
staff 5.317999672572949 50
server 4.279476980259027 45
friend 5.790530260098437 33
service 3.8857947088018245 194
rolls 6.311101396242504 50
hour 6.418945122277323 40
table 2.9530352068037664 54
noodles 3.860417436600891 171
everything 6.745362499527752 40
waiter 4.733395114818003 34
noodle 4.813270023178817 79
order 2.54872940728092 65
dinner 2.575260312720211 46
salad 3.8506224089359047 52
sauce 4.892549520538059 70
roll 3.7708989568852616 70
restaurant 3.616809582621759 97
tempura 5.679531658110372 37
thai 3.6871404752042807 23
chicken 3.237984929738671 67
sushi 3.944904998033188 156
dishes 2.5783881462902176 95
bowl 2.6070530299993893 61
seafood 5.333443075367596 39
beef 3.8738008220421616 54
bit 0.9971533717708478 44
banana 3.6650347650007644 33
soup 5.3840172311894 90
place 6.071435525447768 304
pork 4.3654571655251715 38
miso 5.545286685455095 34
udon 3.8551693097978372 64
bread 6.410652893141842 72
time 2.674865842732101 131
lunch 5.668979651766123 80
phoenix 5.490631166799515 54
End -----------------------------------------------------------------------------
Restaurant_ID bgTB6MgdVQssXhkNJ7qIfw
way 3.745476363575822 59
dinner 3.8695915103356686 84
food 5.277978465639471 326
hamachi 4.9382322539286 36
dessert 5.984982852057542 50
experience 6.192435816008043 99
stars 3.228225593177168 31
restaurants 7.060777712596823 38
table 4.1370835424728645 56
presentation 6.800764836013622 38
cod 2.370832395250606 86
order 3.0269347343636333 62
shrimp 4.732723357340834 33
tempura 5.5285248323038125 62
spicy 2.544923498680726 33
rolls 4.765671351808785 53
something 4.784609815607027 43
meal 6.652589852040151 72
places 4.089278120219978 39
place 6.455906416239916 223
staff 4.477807462098521 50
mushroom 3.4287008432437656 41
chef 6.423140697083803 54
friends 4.011679846089912 35
miso 3.52945221522803 50
menu 4.1381546205755635 195
serrano 3.288394909725525 37
drinks 5.964186988477711 82
service 6.946630915758726 205
dish 3.8495329561043476 68
dining 4.839341654258766 73
ice 3.7681972810532915 56
time 3.8478325917741767 118
hour 7.356600706921245 123
times 3.9327609656579416 48
dishes 4.145235672085016 97
night 3.592242759192777 66
items 2.553689397074419 43
side 3.057737353130076 40
scottsdale 3.4295168963395337 67
roka akor 7.3430056597046605 136
shochu 6.109978161842607 45
flavor 5.25744454720193 51
quality 5.504346290003912 63
mushrooms 4.726777392055642 36
chili 5.480560506402059 38
decor 6.0663761666821845 39
people 5.11824012249038 52
robata 2.400509375423427 75
tuna 2.1664769282501335 48
wasabi 4.779931444127296 35
price 4.423180849788184 46
server 6.439570818693569 50
sake 4.413645997898198 49
waiter 5.247990394452375 47
rice 3.8040825638095748 56
asparagus 3.4509757744682283 46
beef 4.207847716022169 69
wine 5.359728991146878 36
thing 5.496753015057449 45
area 4.155282165414772 50
atmosphere 7.7817301516723525 52
sashimi 4.295383290461248 103
crab 5.99092812812636 44
sushi 4.839089796328296 281
taste 4.6570905151745015 48
mouth 4.823323120727635 36
salmon 4.889560937758828 52
bit 1.8645826469918878 61
grill 4.245891320204669 54
restaurant 5.675630397279448 146
steak 3.725041558049039 32
things 5.1569756763568435 42
butterfish 5.395188031913581 88
roka 5.706678053918884 221
roll 4.327520211064339 102
fish 4.015385113583005 95
bar 6.29220423367685 93
everything 7.108973806087755 99
sauce 4.572515329570753 52
End -----------------------------------------------------------------------------
Restaurant_ID 5VMajxduxfLPSyQkVFKESg
time 3.6149998151621476 93
sides 5.836614125418951 96
tender 7.2664582097148065 34
order 3.0072256052534874 55
beans 4.5883869707031035 97
potato 4.094601983131241 79
homemade 5.514414216643326 43
flavor 4.990661016721932 62
bit 1.6523385518500853 41
everything 6.6707538787103555 55
root beer 6.812502911824047 87
menu 3.6560848959579575 45
side 3.215151835452201 89
food 5.644852156737871 204
family 5.410502852393365 50
atmosphere 6.373215459594244 50
meat 2.849236033527089 119
meal 8.223321441614539 42
mac 4.214741080183465 109
bbq 6.698497997802005 486
sauce 6.2857306026770665 172
potatoes 0.16517746011488205 73
corn 4.918688468750809 45
people 4.503007368650736 49
sampler 6.434611329205006 33
beef 5.80034325869076 38
brisket 4.546874448608552 130
salad 2.279395818583171 44
area 3.1937900401008203 42
thing 4.547044251226501 38
gilbert 4.294576130311697 59
service 7.02755582001587 40
restaurant 5.642816766070956 53
chicken 3.291977677390801 72
plate 4.365818216197518 29
places 3.701284609376306 43
joe 4.771513532121957 237
n 2.6317036886571055 44
home 4.78342729025701 58
cake 1.318045749411632 34
day 4.560896934239331 42
way 4.921984207941366 38
pork 5.888624529144818 161
ribs 4.510949267416622 122
cheese 5.555006341650347 125
place 6.418893849359678 220
sandwich 4.555374413734667 64
bread 4.212995598164075 41
line 2.6518075277638378 96
End -----------------------------------------------------------------------------
Restaurant_ID 9Y3aQAVITkEJYe5vLZr13w
omelet 3.6956261737332943 50
wait 4.4688045982807525 135
egg 4.997599767802651 36
way 2.7420617027911924 32
sauce 4.918128421038597 34
town 3.2732002792859487 49
table 3.477729844346216 64
staff 3.8447680934930197 36
food 5.322876381928713 214
portions 3.369758693458116 35
potatoes 5.363056529193454 45
minutes 2.371756987958961 28
day 5.374194168821846 44
coffee 5.669586736274077 103
people 4.691931912740161 68
fruit 4.82130822370592 62
waitress 3.944192495705585 44
bacon 6.360036268842797 50
eggs 4.4401321222130505 110
service 6.205086756757172 134
meal 6.7891169429761735 44
pancakes 5.738716646231099 55
place 6.435076783911934 211
juice 5.709239379759611 42
menu 5.333613985093076 70
scottsdale 3.164637724068431 98
morning 3.6967874157105522 51
side 4.794348225267411 45
cheese 4.3060900395454595 48
breakfast 5.134290244464913 363
toast 5.057150413151773 60
friend 4.7044402609956055 41
spot 7.733921442693972 30
time 2.8250568049955977 95
server 5.217376626827001 31
restaurant 4.323294899048956 41
bar 4.794083191345286 42
order 2.34053411170038 55
brunch 4.6682583563709485 38
End -----------------------------------------------------------------------------
Restaurant_ID K8pM6qQdYu5h6buRE1-_sw
greens 4.3498673714829525 70
restaurant 4.601174050240996 85
grits 3.0381205789958887 105
thing 4.433218604702229 65
butter 3.939542165078407 64
waffle 5.039764391198203 187
cornbread 4.178503514443673 45
bit 1.5511279089443797 68
waffles 5.713245376458824 450
people 4.876035935650117 83
jar 4.295267011151148 59
service 6.013598526349293 187
chicken 3.400111765751876 773
everything 6.983366722061048 55
place 6.411890286720366 318
table 4.174956732796119 71
location 3.79573915724381 81
staff 5.985562762457732 79
wait 4.004639924413164 113
lo 3.758763920045162 256
mac 5.145731556591809 125
cheese 3.98784879251022 162
way 4.271237799726651 77
minutes 3.017212443893139 53
beans 2.9121072211921835 53
velvet cake 2.5694269037094637 80
experience 5.398736535188203 69
meal 5.724439469254158 70
food 5.862226110486622 400
syrup 4.249416692951266 72
home 4.312565103112536 49
mason 4.332383943496697 69
gravy 4.3063259486339325 60
lolo 5.458481373616716 92
scottsdale 3.3107093833037418 42
day 4.63373144761198 53
side 2.937749429103194 91
tea 7.153096393575819 132
menu 4.410796941193592 58
phoenix 5.451269554805771 104
times 1.6880601666199921 54
order 2.183839988868565 73
soul food 3.5054841385721227 68
time 3.350757478633024 183
End -----------------------------------------------------------------------------
Restaurant_ID mxrXVZWc6PWk81gvOVNOUw
table 5.021993011390558 66
chile 1.2196719452316058 93
chili 2.5020836465125735 97
pepper 3.665125714743816 41
experience 4.923833672914429 43
drinks 6.000965013370409 59
hour 7.80720771994381 241
dessert 7.052643793548246 38
chicken 2.1534338489682465 90
stew 1.5321781838272839 37
fish 6.033886900938928 57
service 7.239555300289602 184
mac 2.319180750963369 92
dish 3.5730045390025005 35
area 3.2650878805814756 36
meat 4.260919291521128 33
meal 6.004426954640306 71
menu 4.816840400900244 100
scottsdale 4.6013048764785305 49
burger 2.9776748378892637 128
patio 4.926269881748463 64
restaurant 5.83414942474576 89
wine 5.077959412958583 43
side 4.011135590908158 45
chile pork 2.495211686005633 40
bit 1.8328465779375347 48
night 4.808167594533283 67
time 3.7639404257975295 115
ribs 3.419459241628573 60
dinner 5.527921170219709 76
food 6.073572864333322 249
bar 6.452344507994514 99
cheese 3.305324611904447 127
tacos 3.8286723358641668 43
place 7.448468019192266 140
pork 3.5400848420935853 163
everything 7.98495845431943 48
appetizer 4.332574833972695 54
way 3.9655823793872074 38
roaring fork 5.409004522301889 106
server 6.9715182910974685 34
chili pork 0.590747988508015 35
bread 4.644959038090629 55
salad 3.689999332596425 41
atmosphere 7.44323986754916 47
sauce 3.741918316042763 37
End -----------------------------------------------------------------------------
Restaurant_ID 3n9mSKySEv3G03YjcU-YOQ
tomato 5.726143905334654 66
night 3.8452780404181204 86
bottle 6.478459354691926 65
panini 6.7404885562975085 51
wine 4.564447878993954 375
restaurant 5.781726467080092 56
brunch 6.329893210783425 53
parking 2.861101602701381 89
tuesday 7.567575006881366 35
sandwich 6.4921035851720275 49
bruschetta 5.604044745685469 283
monday 6.060743715169647 36
day 5.609998740813863 66
times 3.0250831510796017 54
postino 5.105137653974454 248
order 3.9554880748352383 66
atmosphere 7.498888563424439 75
table 3.6243388924533413 61
hour 6.085553000515521 63
bar 5.189959334067979 85
wait 3.7975847054391747 74
bread 4.7736368150342985 56
people 5.413640327678922 48
board 5.978316635506068 68
time 3.748823843226081 146
patio 5.155144156304919 87
prosciutto 5.458192866248973 43
cheese 4.912819242753527 98
central 4.1095243492387326 1
service 6.448002832394046 184
menu 5.0994619641905174 72
staff 5.1104087664269215 83
deal 5.578843484817844 51
fig 4.753087867264373 58
glass 5.051754924587296 65
food 5.881562007252851 236
brie 6.322508451036166 57
friends 4.915229158936969 47
server 4.460492925083779 47
phoenix 8.370303805529923 59
salad 4.408374066438363 79
selection 7.858369730847299 69
lunch 4.144436544980578 56
place 7.306824167293016 270
location 3.782286605305985 98
beer 5.668370203222294 55
End -----------------------------------------------------------------------------
Restaurant_ID QnAzW6KMSciUcuJ20oI3Bw
atmosphere 7.036027912972545 110
bbq 5.808401873537675 183
pizza 4.861623916221478 110
side 2.7045681072242873 58
seating 3.1515435407482864 86
farm 3.982429463745692 273
sauce 4.262210659911317 82
salad 4.86057235996518 76
cheese 3.65057306899987 118
meal 5.242879984985478 62
farm grill 6.6772618103117924 125
joe 5.005926374672283 301
menu 5.557834624478626 114
fries 4.7775287205548835 314
people 4.423484040320068 61
time 3.4124897819135844 183
lunch 5.434655045468146 76
burger 5.2537086196356055 242
gilbert 4.398410742293264 53
ahi 5.720550291699563 80
sandwich 4.677048842541631 147
line 3.461802153862071 112
kids 5.224457361621592 75
way 5.10335236702622 71
pork 6.303231469501447 60
burgers 6.721333838341591 96
everything 7.889261891868719 90
chicken 3.386546423322057 140
day 4.997355315104381 60
breakfast 6.937928196326703 100
food 6.072512919477457 524
family 5.755676451698209 76
onion rings 5.8157693877322805 130
picnic 5.082114627053991 63
tuna 2.65790599960001 77
place 7.164433386325449 408
restaurant 5.400351140529336 103
area 3.411014188124014 75
order 3.6028243537889812 92
something 4.907464353817341 58
trees 3.9216271074577245 59
times 3.9880319159475914 65
End -----------------------------------------------------------------------------
Restaurant_ID FV0BkoGOd3Yu_eJnXY15ZA
time 3.473297885795854 115
salad 5.018092420237332 257
scottsdale 2.648955588781293 73
risotto 4.693239530879793 38
thing 4.386278865177833 43
times 4.207828993956163 39
mushrooms 4.434897623438937 44
something 4.836449265546724 41
steak 4.502531262986891 32
flavor 4.095397024057848 47
price 3.2186902724134976 39
mac 3.891732771365552 39
side 1.4894782575843428 38
cream 4.2459984355013685 64
cheese 3.942485226362259 102
place 7.019904143235321 159
sauce 4.3842293190392 87
ice 3.1068055353162483 40
people 4.377510798796076 51
dinner 3.7869907115061863 95
service 6.1021734663699725 157
wine list 4.213383081965198 66
chocolate 1.8268540556877846 31
lunch 5.136998258209669 29
server 5.988945521734044 58
menu 4.654417311775923 144
bit 1.754131967494772 48
bar 6.775313926242984 51
stetson salad 6.403673160481795 31
town 3.26463988993741 44
everything 7.265543340007808 45
scallops 4.048064312430174 38
meal 6.706533399755921 86
meat 4.347003412797362 36
night 4.763270588862062 62
restaurant 4.886728557248789 99
stetson chopped 6.49474047807948 56
dishes 4.324502490092426 39
belly 5.9174767131244534 37
food 5.976651994964522 259
experience 5.673613542154621 58
drinks 5.320009570944626 36
way 4.411407894350204 36
salmon 5.119454332792849 56
wine 3.9315704085102254 150
dessert 5.912118718892683 54
bacon 3.435425317438237 33
order 4.139181684234387 57
bread pudding 3.6217569879589617 38
table 4.05596124127236 60
dish 4.084175329500049 132
pork 3.9595907091358895 97
End -----------------------------------------------------------------------------
Restaurant_ID Xq9tkiHhyN_aBFswFeGLvA
waiter 6.974078166912239 32
friend 4.9651667988968216 35
wine 4.607512561864823 32
restaurants 3.3458030946315036 46
side 3.6261617363708485 40
place 6.2444644856813225 203
cheese 5.258141191107263 109
dinner 3.5913602435193743 70
salmon 5.317275939173252 37
night 4.155416063780567 76
service 5.651887844503979 188
pretzel 4.690913615327802 94
stew 2.856793215736493 69
experience 6.184422636239402 58
time 2.760673804466612 112
table 3.6658213381691773 48
drinks 7.21122822924931 75
shrimp 4.7433326448677136 41
appetizer 5.887008282225327 45
rib 2.597324015194305 69
server 5.679462824154192 67
chicken 3.325694888507835 73
phoenix 4.784627788927403 62
appetizers 5.109195440615327 34
butcher 0.11855558336347208 148
menu 4.271924171292072 122
atmosphere 6.0174921606407485 60
something 4.183573236616421 38
meal 7.1439430810293105 68
meat 3.3971477538291572 40
fish 6.0350001529192285 45
group 6.114731248954303 40
food 5.510806805952981 241
fox 2.842979251402888 69
kitchen 3.7972954362924876 31
chips 4.776420934462419 35
hour 6.0953194555103565 84
bit 1.8198253932272965 48
lunch 4.5201821562030045 67
turkey 3.66993086251842 50
peanut butter 7.071321527968931 30
bread 4.6376061021711195 70
fun 6.683979116825089 37
bar 4.1577208918249395 77
pretzels 7.733218672106348 67
people 4.706512020350852 42
salad 5.104998727172307 96
potato 6.820122434859323 51
nothing 4.428897656257966 45
plate 5.643991611072893 43
staff 4.9829128218111585 50
drink 5.024017314054715 57
downtown 6.297341504080327 106
crab 6.712380520609013 38
dish 3.0359696690026503 40
way 4.546284152710541 42
fondue 5.209576345730229 91
minutes 3.5077924598847594 29
dessert 6.792180370328394 45
sauce 5.266659650372675 38
restaurant 4.56956059238082 105
End -----------------------------------------------------------------------------
Restaurant_ID c1yGkETheht_1vjda7G5sA
thyme 7.606621809201623 47
something 4.429573437241486 87
flavor 4.804077899846403 58
thing 3.9937581440071575 102
